Gender,Age,Height,Weight,Current_Activity_Level,Exercise_Frequency,Experience_Level,Goals,Perceived_Barriers,Exercise_Types,Equipment_Availability,Preferred_Workout_Location,Preferred_Time,Exercise_Duration
Female,18,5.8,140,Good,1 to 2 times a week,Beginner ,I want to be fit;I want to increase muscle mass and strength;I want to relieve stress,I don't have enough time;I'll become too tired;I have an injury,Walking or jogging;Gym,Full gym access,Gym,Evening,60
Female,47,5.5,130,Good,2 to 3 times a week,Intermediate,I want to be fit,I can't stay motivated,Yoga,Yoga mat,Home,Early morning,30
Female,22,5.2,125,Good,Never,Beginner ,I want to be fit;I want to be flexible;To maintain healthy body and mind,I can't stay motivated;Laziness ,Walking or jogging;I don't really exercise,No equipment,Outdoors,Early morning,0
Female,25,5.7,135,Good,1 to 2 times a week,Intermediate,I want to be flexible;I want to relieve stress,I can't stay motivated;I'll become too tired,Yoga,Yoga mat,Home,Early morning,30
Female,40,6,170,Average,1 to 2 times a week,Beginner ,I want to lose weight;I want to be flexible,I'll become too tired;I have an injury,Walking or jogging,No equipment,Outdoors,Early morning,30
Female,44,5.5,140,Average,Never,Beginner ,I'm sorry ... I'm not really interested in exercising,I don't really enjoy exercising,I don't really exercise,No equipment,Home,Early morning,0
Female,38,5.4,135,Average,2 to 3 times a week,Beginner ,I want to be fit;I want to lose weight;I want to be flexible;I want to relieve stress,I don't have enough time;I'll become too tired,Walking or jogging;Yoga,Yoga mat,Outdoors,Early morning,60
Female,20,5.2,125,Average,5 to 6 times a week,Intermediate,I want to be flexible,I can't stay motivated,Yoga,Yoga mat,Home,Early morning,0
Female,22,4.9,95,Good,Everyday,Advanced,I want to be fit,I exercise regularly with no barriers,Walking or jogging;Team sport,Full gym access,Gym,Evening,120
Female,20,5.5,160,Unfit,1 to 2 times a week,Beginner ,I want to lose weight,I can't stay motivated,Gym,Full gym access,Gym,Early morning,60
Female,36,5.4,142,Average,3 to 4 times a week,Intermediate,I want to lose weight,I don't have enough time,Walking or jogging,No equipment,Outdoors,Early morning,30
Female,20,5.3,130,Average,Never,Beginner ,I want to be fit;I want to increase muscle mass and strength;I want to lose weight;I'm sorry ... I'm not really interested in exercising,I can't stay motivated;I don't really enjoy exercising,I don't really exercise,No equipment,Home,Early morning,0
Female,35,5.5,140,Average,2 to 3 times a week,Beginner ,I want to be fit;I want to lose weight,I don't have enough time,Walking or jogging,No equipment,Outdoors,Early morning,30
Female,47,5.3,118,Very good,1 to 2 times a week,Beginner ,I want to lose weight,I'll become too tired,Walking or jogging,No equipment,Outdoors,Evening,30
Female,40,5.2,121,Average,3 to 4 times a week,Intermediate,I want to relieve stress,I have an injury,Walking or jogging,No equipment,Outdoors,Early morning,30
Female,24,5.1,170,Unfit,1 to 2 times a week,Beginner ,I want to be fit;I want to lose weight;I want to relieve stress,I don't have enough time,Swimming,No equipment,Pool,Evening,0
Female,24,5,120,Average,Everyday,Intermediate,I want to increase muscle mass and strength;I want to lose weight;I want to relieve stress,I don't have enough time;I'll become too tired,Gym,Full gym access,Gym,Evening,120
Female,45,5.5,130,Good,Never,Beginner ,I want to lose weight;I want to relieve stress,I don't have enough time,I don't really exercise,No equipment,Home,Evening,0
Female,21,5.4,132,Good,3 to 4 times a week,Intermediate,I want to be fit;I want to be flexible,I can't stay motivated,Walking or jogging;Yoga,Yoga mat,Outdoors,Early morning,30
Female,48,5.6,130,Good,Everyday,Advanced,I want to be flexible,I exercise regularly with no barriers,Yoga,Yoga mat,Home,Early morning,30
Female,15,5.2,125,Average,Everyday,Intermediate,I want to be fit;I want to be flexible;I want to relieve stress,I can't stay motivated,Yoga,Yoga mat,Home,Early morning,30
Female,20,5.2,125,Good,1 to 2 times a week,Beginner ,I want to be fit;I want to lose weight,I don't have enough time;I don't really enjoy exercising,Walking or jogging;Yoga,Yoga mat,Outdoors,Early morning,30
Female,17,5.2,125,Average,1 to 2 times a week,Beginner ,I want to lose weight,I'll become too tired,Walking or jogging;Gym,Full gym access,Gym,Early morning,60
Female,17,5.6,143,Average,Never,Beginner ,I'm sorry ... I'm not really interested in exercising,I can't stay motivated,I don't really exercise,No equipment,Outdoors,Evening,0
Female,18,5.6,140,Average,1 to 2 times a week,Beginner,I want to be fit,I can't stay motivated,Walking or jogging,No equipment,Outdoors,Evening,30
Female,22,5.2,120,Average,1 to 2 times a week,Beginner,I want to be fit,I'll become too tired,Walking or jogging;Swimming,No equipment,Outdoors,Evening,30
Female,21,5.7,135,Average,5 to 6 times a week,Intermediate,I want to lose weight,I don't have enough time;I can't stay motivated,Walking or jogging,No equipment,Outdoors,Early morning,30
Female,17,5.4,135,Good,1 to 2 times a week,Beginner,I want to be fit;I want to be flexible;I want to relieve stress,I don't have enough time;I can't stay motivated,Walking or jogging,No equipment,Outdoors,Evening,120
Female,15,5.6,170,Unfit,Never,Beginner,I want to lose weight,I can't stay motivated,I don't really exercise,No equipment,Home,Early morning,0
Female,25,5.3,127,Good,Everyday,Advanced,I want to be fit;I want to lose weight;I want to be flexible,I don't have enough time;I exercise regularly with no barriers,Gym,Full gym access,Gym,Evening,120
Female,18,5.3,104,Good,2 to 3 times a week,Intermediate,I want to increase muscle mass and strength,I don't have enough time,Zumba dance,No equipment,Home,Early morning,120
Female,22,5.5,123,Good,2 to 3 times a week,Intermediate,I want to lose weight,I don't have enough time;I can't stay motivated;I'll become too tired,Walking or jogging,No equipment,Outdoors,Evening,30
Female,16,5.8,125,Good,Everyday,Advanced,I dont wanna gain weight,I'm too lazy,Walking or jogging,No equipment,Outdoors,Evening,30
Female,24,5.6,140,Average,Everyday,Advanced,I want to be fit,I exercise regularly with no barriers,Yoga,Yoga mat,Home,Early morning,30
Female,34,5.8,178,Unfit,Never,Beginner,I'm sorry ... I'm not really interested in exercising,I don't really enjoy exercising,I don't really exercise,No equipment,Home,Early morning,0
Female,17,5.4,168,Unfit,1 to 2 times a week,Beginner,I'm sorry ... I'm not really interested in exercising,I don't really enjoy exercising,Walking or jogging;I don't really exercise,No equipment,Outdoors,Evening,0
Female,44,4.9,94,Average,1 to 2 times a week,Beginner,I want to increase muscle mass and strength;I want to relieve stress,I don't have enough time;I can't stay motivated,Walking or jogging;Yoga,Yoga mat,Outdoors,Evening,30
Female,15,5.5,140,Average,Never,Beginner,I want to be fit,I can't stay motivated,I don't really exercise,No equipment,Home,Evening,0
Female,23,5.6,135,Good,1 to 2 times a week,Beginner,I want to be fit,I don't have enough time,Walking or jogging,No equipment,Outdoors,Evening,30
Female,15,5.5,120,Good,2 to 3 times a week,Beginner,I want to be fit;I want to lose weight;I want to be flexible;I want to relieve stress,I don't really enjoy exercising,Walking or jogging,No equipment,Outdoors,Early morning,30
Female,40,5.4,135,Good,Never,Beginner,I want to lose weight;I want to relieve stress,I don't have enough time;I can't stay motivated,I don't really exercise,No equipment,Home,Evening,0
Female,42,5.5,130,Good,1 to 2 times a week,Beginner,I want to be fit;I want to be flexible,I don't have enough time;I can't stay motivated,Gym,Full gym access,Gym,Evening,30
Female,47,5.9,150,Average,Never,Beginner,I want to increase muscle mass and strength,Laziness,I don't really exercise,No equipment,Home,Evening,0
Female,18,5.2,125,Good,Never,Beginner,I want to be flexible,Lazy,Walking or jogging,No equipment,Outdoors,Early morning,0
Female,22,5.8,154,Average,1 to 2 times a week,Beginner,I want to lose weight;I want to be flexible,I can't stay motivated,Gym,Full gym access,Gym,Evening,60
Female,34,5.2,114,Very good,2 to 3 times a week,Intermediate,I want to be flexible,I can't stay motivated,Swimming;Yoga,Yoga mat,Home,Evening,30
Female,18,5.8,135,Very good,3 to 4 times a week,Intermediate,I want to achieve a sporting goal,I can't stay motivated,Walking or jogging,No equipment,Outdoors,Afternoon,30
Female,21,5.5,125,Average,1 to 2 times a week,Beginner,I want to increase muscle mass and strength,I don't have enough time,Walking or jogging,No equipment,Outdoors,Evening,60
Female,44,5.1,150,Unfit,Never,Beginner,I'm sorry ... I'm not really interested in exercising,I don't have enough time,I don't really exercise,No equipment,Home,Early morning,0
Female,18,5.3,125,Good,3 to 4 times a week,Intermediate,I want to be fit;I want to increase muscle mass and strength;I want to be flexible,I don't have enough time,Walking or jogging;Gym,Full gym access,Gym,Evening,30
Female,22,5.1,117,Average,Never,Beginner,I want to be fit;I want to be flexible,I don't have enough time,I don't really exercise,No equipment,Home,Evening,0
Female,16,5.4,120,Average,Never,Beginner,I want to be fit;I want to increase muscle mass and strength;I want to relieve stress,I don't have enough time,Walking or jogging;I don't really exercise,No equipment,Outdoors,Early morning,0
Female,17,5.6,160,Unfit,Never,Beginner,I want to be fit;I want to lose weight;I want to be flexible;I want to relieve stress,I don't have enough time;I can't stay motivated,I don't really exercise,No equipment,Home,Early morning,0
Female,37,5.1,100,Very good,2 to 3 times a week,Intermediate,I want to be fit,I don't have enough time;I'll become too tired,Gym,Full gym access,Gym,Evening,30
Female,17,5.7,145,Good,1 to 2 times a week,Beginner,I want to lose weight,I don't really enjoy exercising,Zumba dance,No equipment,Home,Evening,60
Female,42,5.8,155,Average,1 to 2 times a week,Intermediate,I want to be fit;I want to be flexible;I want to relieve stress,I don't have enough time,Yoga,Yoga mat,Home,Early morning,60
Female,17,5.2,160,Unfit,Never,Beginner,I'm sorry ... I'm not really interested in exercising,Laziness ,I don't really exercise,No equipment,Home,Early morning,0
Female,21,5.4,120,Good,2 to 3 times a week,Intermediate,I want to lose weight,I can't stay motivated,Walking or jogging,No equipment,Outdoors,Evening,60
Female,15,5.1,115,Average,Never,Intermediate,I want to relieve stress,I don't have enough time,Walking or jogging,No equipment,Outdoors,Early morning,0
Female,32,5.4,125,Very good,5 to 6 times a week,Advanced,I want to be fit,I'll become too tired,Team sport,Full gym access,Gym,Evening,60
Female,20,5.2,130,Average,Everyday,Beginner,I want to lose weight,I don't have enough time;I can't stay motivated,Gym,Full gym access,Gym,Early morning,60
Female,17,4.8,105,Good,1 to 2 times a week,Intermediate,I want to be fit;I want to lose weight;I want to be flexible;I want to relieve stress,I don't have enough time;I have an injury;No gym near me,Walking or jogging,No equipment,Outdoors,Early morning,30
Female,23,5.2,120,Good,2 to 3 times a week,Beginner,I want to be flexible,I don't have enough time;I can't stay motivated;I'll become too tired,Gym,Full gym access,Gym,Evening,60
Female,17,5.3,115,Good,1 to 2 times a week,Beginner,I want to be flexible;I want to relieve stress;I want to achieve a sporting goal,I don't have enough time;I'll become too tired,Walking or jogging;Team sport,Full gym access,Gym,Early morning,30
Female,48,4.7,90,Average,Never,Beginner,I want to lose weight,I don't have enough time;I don't really enjoy exercising,Walking or jogging,No equipment,Outdoors,Evening,0
Female,17,5.4,125,Good,5 to 6 times a week,Intermediate,I want to be fit;I want to lose weight;I want to relieve stress,I don't have enough time,Gym;Lifting weights,Full gym access,Gym,Afternoon,60
Female,29,5.2,120,Very good,1 to 2 times a week,Intermediate,I want to be fit,I don't have enough time,Walking or jogging,No equipment,Outdoors,Early morning,30
Female,24,5.7,145,Average,3 to 4 times a week,Intermediate,I want to lose weight;I want to be flexible;I want to relieve stress,I'll become too tired,Yoga,Yoga mat,Home,Early morning,120
Female,47,5.6,180,Unfit,2 to 3 times a week,Beginner,I want to be fit;I want to lose weight;I want to be flexible,I don't have enough time;I'll become too tired,Walking or jogging,No equipment,Outdoors,Early morning,30
Female,21,5.3,130,Average,2 to 3 times a week,Intermediate,I want to be fit;I want to lose weight,I'll become too tired,Walking or jogging;Gym;Zumba dance,Full gym access,Gym,Early morning,30
Female,25,5.5,130,Good,2 to 3 times a week,Intermediate,I want to be fit;I want to be flexible,I don't have enough time;I can't stay motivated,Gym;Yoga,Full gym access; Yoga mat,Gym,Early morning,30
Female,17,5.8,135,Average,3 to 4 times a week,Intermediate,I want to be fit;I want to lose weight;I want to be flexible;I want to relieve stress,I can't stay motivated,Walking or jogging;Yoga,Yoga mat,Outdoors,Early morning,60
Female,38,5.8,150,Average,Never,Beginner,I'm sorry ... I'm not really interested in exercising,I can't stay motivated,I don't really exercise,No equipment,Outdoors,Early morning,0
Female,33,5.5,140,Average,Never,Beginner,I want to be fit;I want to lose weight,I don't have enough time;I can't stay motivated,I don't really exercise,No equipment,Outdoors,Evening,0
Female,35,5.6,135,Good,1 to 2 times a week,Beginner ,I want to be flexible,I don't have enough time,Walking or jogging,No equipment,Outdoors,Early morning,30
Female,17,5.9,170,Unfit,Never,Beginner,I want to lose weight;I want to be flexible,I can't stay motivated,I don't really exercise,No equipment,Outdoors,Early morning,0
Female,20,5.6,130,Good,Never,Beginner,I want to relieve stress,I'll become too tired,Zumba dance,No equipment,Home,Evening,0
Female,23,5.3,120,Good,1 to 2 times a week,Beginner,I want to lose weight,I don't have enough time,Walking or jogging,No equipment,Outdoors,Early morning,30
Female,24,5.3,120,Good,2 to 3 times a week,Advanced,I want to be flexible;I want to relieve stress,I exercise regularly with no barriers,Gym;Zumba dance,Full gym access,Gym,Early morning,60
Female,15,5.6,145,Average,Never,Beginner,I want to be fit;I want to be flexible;I want to relieve stress,I can't stay motivated,I don't really exercise,No equipment,Home,Evening,0
Female,16,5.4,135,Average,Everyday,Intermediate,I want to be fit;I want to lose weight,I can't stay motivated,Gym,Full gym access,Gym,Early morning,30
Female,21,5.5,136,Average,1 to 2 times a week,Beginner,I want to relieve stress,I can't stay motivated;I'll become too tired,Walking or jogging,No equipment,Outdoors,Early morning,60
Female,20,5.7,130,Good,Everyday,Advanced,I want to lose weight,I exercise regularly with no barriers,Gym,Full gym access,Gym,Evening,60
Female,16,5,110,Good,Everyday,Intermediate,I want to achieve a sporting goal,I don't have enough time;I'll become too tired,Walking or jogging,No equipment,Outdoors,Early morning,60
Female,21,5.3,120,Good,2 to 3 times a week,Intermediate,I want to be fit;I want to increase muscle mass and strength;I want to lose weight;I want to be flexible,I don't have enough time,Gym,Full gym access,Gym,Evening,120
Female,23,5.9,125,Perfect,Everyday,Advanced,I want to be fit,I don't have enough time,Gym,Full gym access,Gym,Evening,60
Female,23,5.1,118,Average,1 to 2 times a week,Beginner,I want to be fit,I don't have enough time,Walking or jogging,No equipment,Outdoors,Early morning,0
Female,25,5.4,125,Good,1 to 2 times a week,Beginner,I want to be fit,I don't have enough time,Walking or jogging,No equipment,Outdoors,Evening,30
Female,18,5.3,120,Good,3 to 4 times a week,Advanced,I want to be fit;I want to lose weight;I want to be flexible;I want to relieve stress,I don't have enough time;I can't stay motivated,Walking or jogging;Gym;Yoga,Full gym access; Yoga mat,Gym,Early morning,60
Female,17,5.3,115,Good,1 to 2 times a week,Beginner,I want to relieve stress,I don't have enough time,Walking or jogging,No equipment,Outdoors,Evening,30
Female,23,5.1,120,Good,1 to 2 times a week,Beginner,I want to be fit;I want to be flexible,I don't have enough time;I can't stay motivated,Walking or jogging,No equipment,Outdoors,Evening,60
Female,25,5.4,125,Good,2 to 3 times a week,Beginner,I want to be fit;I want to relieve stress,I'll become too tired,Walking or jogging,No equipment,Outdoors,Early morning,30
Female,15,5.5,120,Good,Never,Beginner,I want to be fit;I want to be flexible,I don't have enough time,I don't really exercise,No equipment,Home,Evening,0
Female,23,5.2,115,Good,3 to 4 times a week,Intermediate,I want to be fit;I want to be flexible,I'll become too tired,Walking or jogging,No equipment,Outdoors,Evening,30
Female,15,5.1,115,Average,Never,Beginner,I want to be flexible;I want to relieve stress,I don't have enough time,I don't really exercise,No equipment,Home,Early morning,60
Female,20,5.5,130,Good,Everyday,Advanced,I want to lose weight,I exercise regularly with no barriers,Yoga,Yoga mat,Home,Early morning,30
Female,17,5.3,125,Average,Never,Beginner,I want to be fit,I don't have enough time,Walking or jogging,No equipment,Outdoors,Evening,0
Female,18,5.3,130,Average,Never,Beginner,I'm sorry ... I'm not really interested in exercising,I don't really enjoy exercising,I don't really exercise,No equipment,Home,Early morning,0
Female,24,4.7,92,Good,Everyday,Advanced,I want to be flexible;I want to relieve stress,I don't have enough time,Walking or jogging,No equipment,Outdoors,Early morning,30
Female,42,4.9,96,Average,3 to 4 times a week,Intermediate,I want to be fit;I want to lose weight;I want to be flexible;I want to relieve stress,I don't have enough time,Walking or jogging;Gym;Yoga;Lifting weights,Full gym access; Yoga mat,Gym,Evening,60
Female,22,5.1,125,Average,1 to 2 times a week,Beginner,I want to lose weight,I don't have enough time,Walking or jogging,No equipment,Outdoors,Early morning,30
Female,17,5.4,110,Very good,2 to 3 times a week,Advanced,I want to be fit;I want to increase muscle mass and strength;I want to lose weight;I want to be flexible;I want to relieve stress,I don't have enough time,Walking or jogging;Gym;Yoga,Full gym access; Yoga mat,Gym,Early morning,60
Female,23,5.3,130,Average,Never,Beginner,I want to be fit;I want to be flexible,I can't stay motivated,Zumba dance,No equipment,Home,Early morning,0
Female,20,5.6,135,Average,1 to 2 times a week,Beginner,I want to relieve stress,I don't have enough time,Walking or jogging,No equipment,Outdoors,Early morning,60
Female,37,5.6,140,Average,1 to 2 times a week,Beginner,I want to be flexible;I want to relieve stress,I don't have enough time,Gym;Yoga,Full gym access; Yoga mat,Gym,Evening,60
Female,16,5.2,120,Good,3 to 4 times a week,Intermediate,I want to lose weight,I'll become too tired,Walking or jogging;Gym;Yoga;Zumba dance,Full gym access; Yoga mat,Gym,Early morning,60
Female,25,5.1,125,Good,2 to 3 times a week,Beginner,I want to be fit;I want to relieve stress,I don't have enough time,Walking or jogging,No equipment,Outdoors,Evening,60
Female,23,5.5,120,Very good,Never,Beginner,I want to lose weight,I don't have enough time,Walking or jogging,No equipment,Outdoors,Evening,30
Female,33,5.5,115,Good,5 to 6 times a week,Advanced,I want to relieve stress,I don't have enough time,Walking or jogging,No equipment,Outdoors,Evening,30
Female,18,5.4,110,Good,2 to 3 times a week,Intermediate,I want to be fit;I want to lose weight,I'll become too tired,Gym,Full gym access,Gym,Evening,30
Female,16,5.4,125,Average,5 to 6 times a week,Advanced,I want to be flexible;I want to achieve a sporting goal,I can't stay motivated,Walking or jogging;Gym;Team sport,Full gym access,Gym,Early morning,120
Female,15,5.3,105,Perfect,Everyday,Advanced,I want to be fit;I want to increase muscle mass and strength;I want to be flexible;I want to relieve stress;I want to achieve a sporting goal,I exercise regularly with no barriers,Walking or jogging;Team sport,Full gym access,Outdoors,Evening,30
Female,20,5.5,120,Average,1 to 2 times a week,Beginner,I want to lose weight,I can't stay motivated,Walking or jogging,No equipment,Outdoors,Evening,60
Female,15,5.2,110,Average,Never,Beginner,I want to relieve stress,I don't have enough time;I'll become too tired,Walking or jogging;I don't really exercise,No equipment,Outdoors,Early morning,0
Female,22,5.4,130,Average,Never,Beginner,I'm sorry ... I'm not really interested in exercising,I'll become too tired,I don't really exercise,No equipment,Home,Evening,0
Female,23,5.3,120,Average,3 to 4 times a week,Intermediate,I want to be fit,I can't stay motivated,Walking or jogging,No equipment,Outdoors,Early morning,30
Female,16,5,125,Good,Everyday,Intermediate,I want to be fit;I want to lose weight,I'll become too tired,Walking or jogging,No equipment,Outdoors,Early morning,30
Female,18,5.4,110,Average,3 to 4 times a week,Advanced,I want to be fit,I don't have enough time,Gym,Full gym access,Gym,Evening,60
Female,22,5.3,120,Good,2 to 3 times a week,Intermediate,I want to be fit;I want to lose weight;I want to be flexible;I want to relieve stress;I want to achieve a sporting goal,I don't have enough time,Walking or jogging;Gym;Swimming,Full gym access,Gym,Evening,30
Female,48,5.4,137,Average,1 to 2 times a week,Beginner,I want to be fit;I want to be flexible;I want to relieve stress,I don't have enough time;I'll become too tired,Walking or jogging;Team sport,Full gym access,Gym,Evening,30
Female,17,5.7,130,Good,Never,Beginner,I want to be fit;I want to lose weight;I want to achieve a sporting goal,I don't have enough time,Walking or jogging,No equipment,Outdoors,Early morning,0
Female,15,5.6,110,Very good,Never,Beginner,I want to be fit,I can't stay motivated;I don't really enjoy exercising,Walking or jogging,No equipment,Outdoors,Early morning,30
Female,25,5.2,130,Average,Never,Beginner,I want to be fit,I don't have enough time,I don't really exercise,No equipment,Home,Early morning,0
Female,17,5.5,120,Good,5 to 6 times a week,Intermediate,I want to be fit,I don't have enough time,Yoga,Yoga mat,Home,Early morning,30
Female,35,5.2,135,Average,1 to 2 times a week,Beginner,I want to be fit,I don't have enough time,Walking or jogging,No equipment,Outdoors,Early morning,30
Female,36,5.4,130,Good,1 to 2 times a week,Beginner,I want to lose weight;I want to relieve stress,I can't stay motivated,Yoga,Yoga mat,Home,Early morning,30
Female,20,5.6,140,Average,Never,Beginner,I want to be flexible,I don't have enough time,I don't really exercise,No equipment,Home,Evening,0
Female,39,5.3,145,Average,Everyday,Advanced,I want to relieve stress,I'll become too tired,Yoga,Yoga mat,Home,Early morning,60
Female,35,5.5,150,Average,2 to 3 times a week,Intermediate,I want to be fit;I want to lose weight;I want to relieve stress,I don't have enough time;I can't stay motivated,Walking or jogging,No equipment,Outdoors,Evening,30
Female,20,5.2,115,Very good,Everyday,Intermediate,I want to be fit;I want to lose weight;I want to be flexible,I'll become too tired,Walking or jogging,No equipment,Outdoors,Early morning,60
Female,45,5.3,130,Average,Never,Beginner,I want to be fit;I want to be flexible;I want to relieve stress,I don't have enough time;I don't really enjoy exercising,I don't really exercise,No equipment,Home,Early morning,0
Female,16,5.2,110,Very good,5 to 6 times a week,Advanced,I want to lose weight;I want to be flexible;I want to relieve stress,I'll become too tired,Walking or jogging,No equipment,Outdoors,Evening,30
Female,28,5.6,180,Unfit,Never,Beginner,I want to lose weight,I don't have enough time,Yoga,Yoga mat,Home,Early morning,0
Female,34,5.6,150,Average,2 to 3 times a week,Beginner,I want to be fit;I want to lose weight;I want to relieve stress,I don't have enough time,Walking or jogging,No equipment,Outdoors,Evening,120
Female,30,5.6,150,Average,1 to 2 times a week,Beginner,I want to be fit;I want to lose weight,I don't have enough time,Walking or jogging,No equipment,Outdoors,Evening,30
Female,37,5.5,135,Good,2 to 3 times a week,Intermediate,I want to be fit;I want to be flexible,I don't have enough time;I'll become too tired,Walking or jogging;Yoga,Yoga mat,Outdoors,Evening,30
Female,18,5.4,120,Good,Never,Beginner,I'm sorry ... I'm not really interested in exercising,I don't have enough time;I'll become too tired,I don't really exercise,No equipment,Home,Early morning,0
Female,16,5.8,139,Very good,Never,Beginner,I want to lose weight;I want to relieve stress,I don't have enough time;I don't really enjoy exercising,I don't really exercise,No equipment,Home,Early morning,0
